name,latitude,longitude,historic,tourism,amenity
Cmentarz Mennonicki w Stogach,54.0707782,18.9809189,Unknown,attraction,grave_yard
Diable Młyny,49.7601401,18.9948361,Unknown,attraction,Unknown
Niemiecki bunkier ćwiczebny dla działa Ciężki Gustaw,54.4056433,16.3432147,Unknown,attraction,Unknown
Cintorín opustenej obce Hámre,49.4180735,19.5958623,Unknown,attraction,Unknown
Jediný dochovaný dom osady Osada,49.4059395,19.5965273,Unknown,attraction,Unknown
Gutshof Kapkeim,54.6332757,20.9078314,Unknown,attraction,Unknown
Bauwerk 777,52.0467462,15.3626105,yes,attraction,Unknown
Bunkier 776,52.0495562,15.3725559,yes,attraction,Unknown
Bunkier 775,52.0503834,15.3786586,yes,attraction,Unknown
Bunkier 774,52.0523197,15.3877894,yes,attraction,Unknown
Bunkier 772,52.0551314,15.398015,yes,attraction,Unknown
Bunkier 773,52.0554513,15.3922874,yes,attraction,Unknown
Bunkier 771,52.0551478,15.4022332,yes,attraction,Unknown
Bunkier 770,52.0562153,15.4082058,yes,attraction,Unknown
Bunkier 769 wysadzony,52.0595599,15.4128339,yes,attraction,Unknown
Bunkier 767 wysadzony,52.0589267,15.4241696,yes,attraction,Unknown
Bunkier 768 wysadzony,52.0607332,15.4157708,yes,attraction,Unknown
Schron obserwacyjny Nr. 766,52.0567931,15.4232613,yes,attraction,Unknown
SCHRON BOJOWY Nr 765,52.0551673,15.424105,yes,attraction,Unknown
Bunkier 764,52.0520345,15.4248085,yes,attraction,Unknown
Bunkier 763,52.0491155,15.4283944,yes,attraction,Unknown
Bunkier 762,52.0465315,15.4326846,yes,attraction,Unknown
Bunkier 761,52.0459248,15.4367993,yes,attraction,Unknown
Bunkier 760,52.0486607,15.4439903,yes,attraction,Unknown
Bunkier 759,52.0476881,15.4488951,yes,attraction,Unknown
Bunkier 757,52.0416217,15.4597879,yes,attraction,Unknown
Bunkier 751,52.0416108,15.4786982,yes,attraction,Unknown
Ogród Japoński Siruwia,50.8026554,15.6780065,Unknown,attraction,Unknown
Najwyższy plac zabaw na Dolnym Śląsku,50.8031225,15.6787608,Unknown,attraction,Unknown
Peklo Čertovina,49.7763164,15.9459353,Unknown,attraction,Unknown
Dąbrowiecka Góra - Schron Regelbau 120a,52.0709299,21.3274177,yes,attraction,Unknown
Dąbrowiecka Góra - Schron Regelbau 514,52.0701089,21.3283864,yes,attraction,Unknown
Findejsův lom,49.6204448,16.3321713,Unknown,attraction,Unknown
Aleja Lipowa,50.2231685,17.7901091,Unknown,attraction,Unknown
Aleja Lipowa,50.2280151,17.7814657,Unknown,attraction,Unknown
Amfiteatr,51.017582,21.5454469,Unknown,attraction,theatre
